treatment;median_cov;mad_cov;mean_cov;sd_cov;Totalcount;Zerocount
dmso1P;156;121,5732;195,5077207656426;183,743323482896;2430943;77
dmso1V;45;42,9954;64,5230014476436;70,483506653496;802279;211
dmso2P;128;106,7472;165,8462280842850;157,821872450555;2062132;94
dmso2V;99;75,6126;121,4699211838507;97,735869099446;1510357;81
treat1P;164;121,5732;199,0630529194145;156,123503755451;2475150;64
treat1V;139;112,6776;173,8893356924562;147,032236954778;2162140;107
treat2P;196;145,2948;238,2601737172270;190,388736789016;2962527;62
treat2V;147;121,5732;186,9567315425446;165,786609620159;2324620;85
